Branch,Category,Round,Domicile,MinP,MaxP,MeanP,StdP,TotalSeats,BranchSeats,TotalCandidates,Trend
AIR,EWS,INTERNAL,Y,0.8699569892473118,0.8859990224828934,0.8779780058651026,0.011343430484899697,34.0,3.0,1023000.0,0.0
AIR,EWS,R1,Y,0.9128328445747801,0.9128328445747801,0.9128328445747801,0.0,69.0,6.0,1023000.0,0.0
AIR,EWS,R1_Upgrade,Y,0.8859990224828934,0.8859990224828934,0.8859990224828934,0.0,56.0,5.0,1023000.0,0.0
AIR,EWS,R2,Y,0.8909188660801564,0.8909188660801564,0.8909188660801564,0.0,29.0,3.0,1023000.0,0.0
AIR,FW/OP,R1,Y,0.9312697947214076,0.9312697947214076,0.9312697947214076,0.0,69.0,3.0,1023000.0,0.0
AIR,FW/OP,R1_Upgrade,Y,0.9128328445747801,0.9128328445747801,0.9128328445747801,0.0,56.0,3.0,1023000.0,0.0
AIR,FW/OP,R2,Y,0.9218015640273705,0.9218015640273705,0.9218015640273705,0.0,29.0,3.0,1023000.0,0.0
AIR,OBC/X/F,R1,Y,0.8605464320625611,0.8605464320625611,0.8605464320625611,0.0,69.0,2.0,1023000.0,0.0
AIR,OBC/X/F,R1_Upgrade,Y,0.8105718475073314,0.8105718475073314,0.8105718475073314,0.0,56.0,2.0,1023000.0,0.0
AIR,OBC/X/OP,INTERNAL,Y,0.8450342130987292,0.8566783968719452,0.8508563049853373,0.008233681307423487,34.0,6.0,1023000.0,0.0
AIR,OBC/X/OP,R1,Y,0.9008739002932551,0.9008739002932551,0.9008739002932551,0.0,69.0,6.0,1023000.0,0.0
AIR,OBC/X/OP,R1_Upgrade,Y,0.834574780058651,0.834574780058651,0.834574780058651,0.0,56.0,16.0,1023000.0,0.0
AIR,SC/X/F,R1,Y,0.6068181818181818,0.6068181818181818,0.6068181818181818,0.0,69.0,2.0,1023000.0,0.0
AIR,SC/X/F,R1_Upgrade,Y,0.28202443792766374,0.28202443792766374,0.28202443792766374,0.0,56.0,2.0,1023000.0,0.0
AIR,SC/X/OP,INTERNAL,Y,0.4922228739002933,0.4922228739002933,0.4922228739002933,0.0,34.0,2.0,1023000.0,0.0
AIR,SC/X/OP,R1,Y,0.21319745845552296,0.21319745845552296,0.21319745845552296,0.0,69.0,18.0,1023000.0,0.0
AIR,SC/X/OP,R1_Upgrade,Y,0.100613880742913,0.100613880742913,0.100613880742913,0.0,56.0,3.0,1023000.0,0.0
AIR,SC/X/OP,R2,Y,0.49486021505376343,0.49486021505376343,0.49486021505376343,0.0,29.0,12.0,1023000.0,0.0
AIR,UR/S/OP,R1,Y,0.8295659824046921,0.8295659824046921,0.8295659824046921,0.0,69.0,1.0,1023000.0,0.0
AIR,UR/X/F,INTERNAL,Y,0.8763509286412512,0.8763509286412512,0.8763509286412512,0.0,34.0,4.0,1023000.0,0.0
AIR,UR/X/F,R1,Y,0.8705298142717497,0.8705298142717497,0.8705298142717497,0.0,69.0,8.0,1023000.0,0.0
AIR,UR/X/F,R1_Upgrade,Y,0.8642834799608994,0.8642834799608994,0.8642834799608994,0.0,56.0,6.0,1023000.0,0.0
AIR,UR/X/F,R2,Y,0.8860684261974585,0.8860684261974585,0.8860684261974585,0.0,29.0,3.0,1023000.0,0.0
AIR,UR/X/OP,INTERNAL,AI,0.8728885630498534,0.8728885630498534,0.8728885630498534,0.0,34.0,3.0,1023000.0,0.0
AIR,UR/X/OP,INTERNAL,Y,0.8766510263929619,0.9013695014662757,0.8890102639296188,0.01747860134493084,34.0,3.5,1023000.0,0.0
AIR,UR/X/OP,R1,AI,0.9389745845552298,0.9389745845552298,0.9389745845552298,0.0,69.0,3.0,1023000.0,0.0
AIR,UR/X/OP,R1,Y,0.8954252199413489,0.8954252199413489,0.8954252199413489,0.0,69.0,20.0,1023000.0,0.0
AIR,UR/X/OP,R1_Upgrade,AI,0.9293225806451613,0.9293225806451613,0.9293225806451613,0.0,56.0,2.0,1023000.0,0.0
AIR,UR/X/OP,R1_Upgrade,Y,0.8774046920821115,0.8774046920821115,0.8774046920821115,0.0,56.0,17.0,1023000.0,0.0
AIR,UR/X/OP,R2,AI,0.9334525904203324,0.9334525904203324,0.9334525904203324,0.0,29.0,2.0,1023000.0,0.0
AIR,UR/X/OP,R2,Y,0.928039100684262,0.928039100684262,0.928039100684262,0.0,29.0,6.0,1023000.0,0.0
AUTO,EWS,R1,Y,0.27016088958579487,0.790079546692819,0.5128356226567216,0.2645883041484997,57.5,5.5,1003680.75,-0.1
AUTO,EWS,R1_Upgrade,Y,0.6026965845470909,0.744021793614471,0.6554059631343362,0.07720206373625621,47.0,3.0,1025238.3333333334,-0.041578840211705326
AUTO,EWS,R2,Y,0.3294945836416038,0.8287414187643021,0.6118374278413611,0.2105244535709134,29.5,2.5,1003680.75,-0.1
AUTO,FW,R1,Y,0.9096288547455595,0.9096288547455595,0.9096288547455595,0.0,69.0,3.0,1147125.0,0.0
AUTO,FW,R1_Upgrade,Y,0.877539936798518,0.877539936798518,0.877539936798518,0.0,65.0,3.0,1147125.0,0.0
AUTO,FW,R2,Y,0.8786540263702736,0.8786540263702736,0.8786540263702736,0.0,25.0,2.0,1147125.0,0.0
AUTO,FW/OP,R1,Y,0.7414452273037078,0.8600674486803519,0.8007563379920298,0.0838785771348369,67.5,3.0,981004.0,-0.1
