Year,Round,Institute,Branch,Category,Domicile,OpeningRank,ClosingRank,BranchSeats,TotalSeats,TotalCandidates
2014,R1_Upgrade,MITS,CHEM,UR/X/F,Y,79794,134223,5,52,1356000
2014,R1_Upgrade,MITS,CHEM,OBC/X/OP,Y,108090,138185,6,52,1356000
2014,R1_Upgrade,MITS,CHEM,UR/S/OP,Y,211870,211870,1,52,1356000
2014,R1_Upgrade,MITS,CHEM,OBC/X/F,Y,216755,216755,1,52,1356000
2014,R1_Upgrade,MITS,CHEM,SC/X/OP,Y,545715,737172,15,52,1356000
2014,R1_Upgrade,MITS,CHEM,SC/X/F,Y,623009,801517,3,52,1356000
2014,R1_Upgrade,MITS,CHEM,ST/X/OP,Y,988596,988596,1,52,1356000
2014,R1_Upgrade,MITS,CSE,UR/X/OP,AI,37729,59900,6,91,1356000
2014,R1_Upgrade,MITS,CSE,UR/X/F,Y,37337,69002,8,91,1356000
2014,R1_Upgrade,MITS,CSE,UR/X/OP,Y,38785,71191,27,91,1356000
2014,R1_Upgrade,MITS,CSE,OBC/X/OP,Y,57657,76693,9,91,1356000
2014,R1_Upgrade,MITS,CSE,OBC/X/F,Y,94756,96038,3,91,1356000
2014,R1_Upgrade,MITS,CSE,UR/S/OP,Y,119195,119195,1,91,1356000
2014,R1_Upgrade,MITS,CSE,UR/S/F,Y,349072,349072,1,91,1356000
2014,R1_Upgrade,MITS,CSE,SC/X/OP,Y,187288,538248,31,91,1356000
2014,R1_Upgrade,MITS,CSE,UR/FF/F,Y,562745,562745,1,91,1356000
2014,R1_Upgrade,MITS,CSE,ST/X/F,Y,655760,655760,1,91,1356000
2014,R1_Upgrade,MITS,CSE,OBC/H/OP,Y,782961,782961,1,91,1356000
2014,R1_Upgrade,MITS,CSE,ST/X/OP,Y,814762,814762,1,91,1356000
2014,R1_Upgrade,MITS,CSE,UR/H/OP,Y,1038365,1038365,1,91,1356000
2014,R1_Upgrade,MITS,ECE,UR/X/OP,AI,60203,66898,5,98,1356000
2014,R1_Upgrade,MITS,ECE,UR/X/F,Y,57599,90532,10,98,1356000
2014,R1_Upgrade,MITS,ECE,OBC/X/OP,Y,85279,93230,8,98,1356000
2014,R1_Upgrade,MITS,ECE,UR/X/OP,Y,49726,96560,37,98,1356000
2014,R1_Upgrade,MITS,ECE,OBC/X/F,Y,94976,180982,5,98,1356000
2014,R1_Upgrade,MITS,ECE,OBC/S/OP,Y,230909,230909,1,98,1356000
2014,R1_Upgrade,MITS,ECE,SC/X/F,Y,445064,488382,2,98,1356000
2014,R1_Upgrade,MITS,ECE,SC/X/OP,Y,238026,539576,28,98,1356000
2014,R1_Upgrade,MITS,ECE,OBC/NCC/OP,Y,615740,615740,1,98,1356000
2014,R1_Upgrade,MITS,ECE,ST/X/OP,Y,1024297,1024297,1,98,1356000
2014,R1_Upgrade,MITS,EE,UR/X/OP,AI,50566,62314,6,84,1356000
2014,R1_Upgrade,MITS,EE,OBC/X/OP,Y,74926,87539,6,84,1356000
2014,R1_Upgrade,MITS,EE,UR/X/OP,Y,37107,92030,29,84,1356000
2014,R1_Upgrade,MITS,EE,UR/X/F,Y,41419,108781,14,84,1356000
2014,R1_Upgrade,MITS,EE,OBC/X/F,Y,165182,185559,3,84,1356000
2014,R1_Upgrade,MITS,EE,UR/S/OP,Y,189144,189144,1,84,1356000
2014,R1_Upgrade,MITS,EE,OBC/S/F,Y,319782,319782,1,84,1356000
2014,R1_Upgrade,MITS,EE,SC/X/OP,Y,238971,370780,8,84,1356000
2014,R1_Upgrade,MITS,EE,UR/FF/OP,Y,375312,490826,2,84,1356000
2014,R1_Upgrade,MITS,EE,SC/X/F,Y,541808,561957,3,84,1356000
2014,R1_Upgrade,MITS,EE,ST/X/OP,Y,674997,862262,10,84,1356000
2014,R1_Upgrade,MITS,EE,ST/X/F,Y,1133217,1133217,1,84,1356000
2014,R1_Upgrade,MITS,IT,UR/X/OP,AI,63755,68839,3,48,1356000
2014,R1_Upgrade,MITS,IT,UR/X/OP,Y,71808,94790,15,48,1356000
2014,R1_Upgrade,MITS,IT,UR/X/F,Y,71549,100666,7,48,1356000
2014,R1_Upgrade,MITS,IT,OBC/X/OP,Y,100566,117392,6,48,1356000
2014,R1_Upgrade,MITS,IT,OBC/X/F,Y,203126,203126,1,48,1356000
2014,R1_Upgrade,MITS,IT,SC/X/OP,Y,541460,669930,12,48,1356000
2014,R1_Upgrade,MITS,IT,SC/X/F,Y,559799,798341,2,48,1356000
2014,R1_Upgrade,MITS,IT,ST/X/F,Y,798756,798756,1,48,1356000
2014,R1_Upgrade,MITS,IT,UR/H/OP,Y,1081262,1081262,1,48,1356000
2014,R1_Upgrade,MITS,MECH,UR/X/OP,AI,37097,55340,5,86,1356000
2014,R1_Upgrade,MITS,MECH,UR/X/OP,Y,41606,69171,24,86,1356000
2014,R1_Upgrade,MITS,MECH,OBC/X/OP,Y,53845,69263,7,86,1356000
2014,R1_Upgrade,MITS,MECH,OBC/S/OP,Y,143986,143986,1,86,1356000
2014,R1_Upgrade,MITS,MECH,UR/S/OP,Y,123137,143987,2,86,1356000
2014,R1_Upgrade,MITS,MECH,UR/X/F,Y,102824,158816,12,86,1356000
2014,R1_Upgrade,MITS,MECH,OBC/X/F,Y,102088,205199,4,86,1356000
2014,R1_Upgrade,MITS,MECH,SC/X/OP,Y,188347,226097,8,86,1356000
2014,R1_Upgrade,MITS,MECH,UR/NCC/OP,Y,298093,298093,1,86,1356000
2014,R1_Upgrade,MITS,MECH,OBC/NCC/OP,Y,300213,300213,1,86,1356000
2014,R1_Upgrade,MITS,MECH,UR/S/F,Y,488082,488082,1,86,1356000
2014,R1_Upgrade,MITS,MECH,SC/X/F,Y,323664,667869,4,86,1356000
2014,R1_Upgrade,MITS,MECH,ST/X/OP,Y,448826,782862,15,86,1356000
2014,R1_Upgrade,MITS,MECH,SC/NCC/OP,Y,810338,810338,1,86,1356000
,,,,,,,,,,1356000
2014,R2,MITS,BT,UR/X/OP,AI,89800,133182,2,18,1356000
2014,R2,MITS,BT,OBC/X/OP,Y,134789,173307,2,18,1356000
2014,R2,MITS,BT,UR/X/OP,Y,162912,175263,4,18,1356000
2014,R2,MITS,BT,UR/X/F,Y,194193,199372,2,18,1356000
2014,R2,MITS,BT,OBC/X/F,Y,203794,203794,1,18,1356000
2014,R2,MITS,BT,SC/X/OP,Y,369570,713292,7,18,1356000
2014,R2,MITS,CE,UR/X/OP,AI,53063,53063,1,21,1356000
2014,R2,MITS,CE,OBC/X/OP,Y,60401,60401,1,21,1356000
2014,R2,MITS,CE,UR/X/OP,Y,32639,80234,8,21,1356000
2014,R2,MITS,CE,UR/X/F,Y,109082,156560,5,21,1356000
2014,R2,MITS,CE,UR/S/OP,Y,173335,173335,1,21,1356000
2014,R2,MITS,CE,ST/X/OP,Y,343376,378311,3,21,1356000
2014,R2,MITS,CE,ST/X/F,Y,639637,639637,1,21,1356000
2014,R2,MITS,CE,OBC/H/OP,Y,979648,979648,1,21,1356000
2014,R2,MITS,CHEM,UR/X/OP,AI,58475,58475,1,32,1356000
2014,R2,MITS,CHEM,OBC/X/OP,Y,110752,133005,3,32,1356000
2014,R2,MITS,CHEM,UR/X/OP,Y,105296,153759,14,32,1356000
2014,R2,MITS,CHEM,SC/X/F,Y,372564,372564,1,32,1356000
2014,R2,MITS,CHEM,SC/X/OP,Y,285135,488063,9,32,1356000
2014,R2,MITS,CHEM,ST/X/OP,Y,504775,1122209,4,32,1356000
2014,R2,MITS,CSE,UR/X/OP,AI,37304,41093,3,25,1356000
2014,R2,MITS,CSE,OBC/X/OP,Y,48697,69469,2,25,1356000
2014,R2,MITS,CSE,UR/X/F,Y,59255,76912,3,25,1356000
2014,R2,MITS,CSE,UR/X/OP,Y,37586,77926,10,25,1356000
2014,R2,MITS,CSE,UR/FF/F,Y,562745,562745,1,25,1356000
2014,R2,MITS,CSE,ST/X/OP,Y,500058,842394,6,25,1356000
2014,R2,MITS,ECE,UR/X/OP,AI,49647,53198,2,34,1356000
2014,R2,MITS,ECE,OBC/X/OP,Y,85090,93693,3,34,1356000
2014,R2,MITS,ECE,UR/X/OP,Y,70654,103582,14,34,1356000
2014,R2,MITS,ECE,UR/X/F,Y,114241,141120,4,34,1356000
2014,R2,MITS,ECE,OBC/X/F,Y,181646,181646,1,34,1356000
2014,R2,MITS,ECE,OBC/S/OP,Y,220385,220385,1,34,1356000
2014,R2,MITS,ECE,UR/NCC/OP,Y,842192,842192,1,34,1356000
2014,R2,MITS,ECE,ST/X/OP,Y,438744,959358,8,34,1356000
2014,R2,MITS,EE,UR/X/OP,AI,52942,53029,2,18,1356000
2014,R2,MITS,EE,UR/X/OP,Y,51628,83401,6,18,1356000
2014,R2,MITS,EE,UR/X/F,Y,89213,124471,3,18,1356000
2014,R2,MITS,EE,OBC/X/F,Y,176340,192255,2,18,1356000
